method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
icnet_r18-d8-pretrained_512x1024_160k_cityscapes, 20210831_233455.log.json, 72.81, 80.64, 10, 72.81, 80.64, 10
icnet_r18-d8-pretrained_512x1024_80k_cityscapes, 20210901_000942.log.json, 71.97, 80.78999999999999, 10, 71.97, 80.78999999999999, 10
icnet_r18-d8-pretrained_768x768_160k_cityscapes, 20210831_220239.log.json, 73.97, 82.08, 10, 73.97, 82.08, 10
icnet_r18-d8-pretrained_768x768_80k_cityscapes, 20210831_220837.log.json, 71.58, 80.05, 10, 71.58, 80.05, 10
icnet_r18-d8-pretrained_832x832_160k_cityscapes, 20210901_003956.log.json, 73.86, 81.67999999999999, 10, 73.86, 81.67999999999999, 10
icnet_r18-d8-pretrained_832x832_80k_cityscapes, 20210901_045041.log.json, 72.85000000000001, 80.92, 10, 72.85000000000001, 80.92, 10
icnet_r18-d8_512x1024_160k_cityscapes, 20210908_213338.log.json, 58.730000000000004, 67.29, 4, 58.730000000000004, 67.29, 4
icnet_r18-d8_512x1024_80k_cityscapes, 20210908_230749.log.json, 54.08, 64.14999999999999, 7, 58.84, 70.58, 6
icnet_r18-d8_768x768_160k_cityscapes, 20210908_203609.log.json, 63.2, 73.03, 6, 63.2, 73.03, 6
icnet_r18-d8_768x768_80k_cityscapes, 20210830_223708.log.json, 66.58, 75.58, 10, 66.58, 75.58, 10
icnet_r18-d8_832x832_160k_cityscapes, 20210908_213338.log.json, 55.1, 65.78, 3, 55.1, 65.78, 3
icnet_r18-d8_832x832_80k_cityscapes, 20210908_230749.log.json, 53.169999999999995, 63.370000000000005, 5, 53.61, 61.019999999999996, 4
