method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
icnet_r50-d8-pretrained_512x1024_160k_cityscapes, 20210829_234931.log.json, 74.76, 82.69, 10, 74.76, 82.69, 10
icnet_r50-d8-pretrained_512x1024_80k_cityscapes, 20210827_131104.log.json, 74.72999999999999, 82.76, 10, 74.72999999999999, 82.76, 10
icnet_r50-d8-pretrained_768x768_160k_cityscapes, 20210829_080416.log.json, 74.7, 82.55, 10, 74.7, 82.55, 10
icnet_r50-d8-pretrained_768x768_80k_cityscapes, 20210827_041259.log.json, 74.18, 82.65, 10, 74.18, 82.65, 10
icnet_r50-d8-pretrained_832x832_160k_cityscapes, 20210829_110832.log.json, 74.98, 82.65, 10, 74.98, 82.65, 10
icnet_r50-d8-pretrained_832x832_80k_cityscapes, 20210827_041259.log.json, 75.24, 83.14, 10, 75.24, 83.14, 10
icnet_r50-d8_512x1024_160k_cityscapes, 20210829_025738.log.json, 72.7, 80.69, 10, 72.7, 80.69, 10
icnet_r50-d8_512x1024_80k_cityscapes, 20210827_131136.log.json, 28.13, 37.24, 1, 28.13, 37.24, 1
icnet_r50-d8_512x1024_80k_cityscapes, 20210827_202505.log.json, 49.03, 61.59, 4, 49.03, 61.59, 4
icnet_r50-d8_512x1024_80k_cityscapes, 20210828_144208.log.json, 66.44, 77.14999999999999, 7, 66.44, 77.14999999999999, 7
icnet_r50-d8_768x768_160k_cityscapes, 20210829_070234.log.json, 72.00999999999999, 80.58999999999999, 10, 72.00999999999999, 80.58999999999999, 10
icnet_r50-d8_768x768_80k_cityscapes, 20210827_041250.log.json, 68.28999999999999, 77.38000000000001, 10, 68.28999999999999, 77.38000000000001, 10
icnet_r50-d8_832x832_160k_cityscapes, 20210829_222603.log.json, 72.86, 80.77, 10, 72.86, 80.77, 10
icnet_r50-d8_832x832_80k_cityscapes, 20210827_041250.log.json, 70.13000000000001, 78.7, 10, 70.13000000000001, 78.7, 10
