method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
icnet_r101-d8-pretrained_512x1024_160k_cityscapes, 20210830_190422.log.json, 75.78, 83.32000000000001, 10, 75.78, 83.32000000000001, 10
icnet_r101-d8-pretrained_512x1024_80k_cityscapes, 20210830_161549.log.json, 74.22, 82.62, 10, 74.22, 82.62, 10
icnet_r101-d8-pretrained_768x768_160k_cityscapes, 20210830_191000.log.json, 75.12, 83.12, 10, 75.12, 83.12, 10
icnet_r101-d8-pretrained_768x768_80k_cityscapes, 20210830_074407.log.json, 74.97, 82.96, 10, 74.97, 82.96, 10
icnet_r101-d8-pretrained_832x832_160k_cityscapes, 20210831_011339.log.json, 75.87, 83.48, 10, 75.87, 83.48, 10
icnet_r101-d8-pretrained_832x832_80k_cityscapes, 20210830_154026.log.json, 74.61, 82.75, 10, 74.61, 82.75, 10
icnet_r101-d8_512x1024_160k_cityscapes, 20210830_201607.log.json, 72.81, 80.87, 10, 72.81, 80.87, 10
icnet_r101-d8_512x1024_80k_cityscapes, 20210830_074520.log.json, 67.89, 77.73, 10, 67.89, 77.73, 10
icnet_r101-d8_768x768_160k_cityscapes, 20210830_235923.log.json, 72.75, 81.14, 10, 72.75, 81.14, 10
icnet_r101-d8_768x768_80k_cityscapes, 20210830_121405.log.json, 68.82000000000001, 77.71000000000001, 10, 68.82000000000001, 77.71000000000001, 10
icnet_r101-d8_832x832_160k_cityscapes, 20210830_181857.log.json, 72.85000000000001, 80.83, 10, 72.85000000000001, 80.83, 10
icnet_r101-d8_832x832_80k_cityscapes, 20210830_074414.log.json, 70.35, 79.02, 10, 70.35, 79.02, 10
