method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
icnet_r50-d8-pretrained_512x1024_80k_cityscapes, 20210827_131104.log.json, 65.9, 74.92999999999999, 5, 67.01, 76.42999999999999, 4
icnet_r50-d8-pretrained_768x768_80k_cityscapes, 20210827_041259.log.json, 74.18, 82.65, 10, 74.18, 82.65, 10
icnet_r50-d8-pretrained_832x832_80k_cityscapes, 20210827_041259.log.json, 75.24, 83.14, 10, 75.24, 83.14, 10
icnet_r50-d8_512x1024_80k_cityscapes, 20210827_131136.log.json, 28.13, 37.24, 1, 28.13, 37.24, 1
icnet_r50-d8_768x768_80k_cityscapes, 20210827_041250.log.json, 68.28999999999999, 77.38000000000001, 10, 68.28999999999999, 77.38000000000001, 10
icnet_r50-d8_832x832_80k_cityscapes, 20210827_041250.log.json, 70.13000000000001, 78.7, 10, 70.13000000000001, 78.7, 10
